Ano de Publicação;Título do Artigo;Nome do Autor;Categoria do Autor
2021;A stock trading algorithm based on trend forecasting and time series classification;João Roberto Bertini Junior;Professor
2021;Universal Dependencies for Tweets in Brazilian Portuguese: Tokenization and Part of Speech Tagging;Emanuel Huber da Silva;Aluno
2021;Universal Dependencies for Tweets in Brazilian Portuguese: Tokenization and Part of Speech Tagging;Thiago Alexandre Salgueiro Pardo;Professor
2021;Universal Dependencies for Tweets in Brazilian Portuguese: Tokenization and Part of Speech Tagging;Norton Trevisan Roman;Professor
2021;Universal Dependencies for Tweets in Brazilian Portuguese: Tokenization and Part of Speech Tagging;Ariani Di Fellipo;Professor
2021;Vector space models for trace clustering: a comparative study;Mateus Alex dos Santos Luna;Aluno
2021;Vector space models for trace clustering: a comparative study;André Paulino Lima;Professor
2021;Vector space models for trace clustering: a comparative study;Thaís Rodrigues Neubauer;Professor
2021;Vector space models for trace clustering: a comparative study;Marcelo Fantinato;Professor
2021;Vector space models for trace clustering: a comparative study;Sarajane Marques Peres;Professor
2021;Otimização Evolutiva Lexicográfica de um Portfólio de Estratégias Automatizadas no Mercado Futuro Brasileiro;Anderson C. Guedes;Aluno
2021;Otimização Evolutiva Lexicográfica de um Portfólio de Estratégias Automatizadas no Mercado Futuro Brasileiro;Carlos Alberto Rodrigues;Professor
2021;Otimização Evolutiva Lexicográfica de um Portfólio de Estratégias Automatizadas no Mercado Futuro Brasileiro;Angelo C. Loula;Professor
2021;Time Series Classification using Shape Features based on Angle Statistics;Bionda Rozin;Aluno
2021;Time Series Classification using Shape Features based on Angle Statistics;Daniel Carlos Guimarães Pedronette;Professor
2021;Offline Handwritten Signature Authentication with Conditional Deep Convolutional Generative Adversarial Networks;David C. Yonekura;Aluno
2021;Offline Handwritten Signature Authentication with Conditional Deep Convolutional Generative Adversarial Networks;Elloá B. Guedes;Professor
2021;Fake News Detection about Covid-19 in the Portuguese Language;Anísio Pereira Batista Filho;Aluno
2021;Fake News Detection about Covid-19 in the Portuguese Language;Débora da Conceição Araújo;Professor
2021;Fake News Detection about Covid-19 in the Portuguese Language;Máverick André Dionísio Ferreira;Professor
2021;Fake News Detection about Covid-19 in the Portuguese Language;Paulo Salgado Gomes de Mattos Neto;Professor
2021;Previsão de Taxa de Perfuração em Poços de Petróleo Offshore Utilizando Aprendizado de Máquina;André Branco;Aluno
2021;Previsão de Taxa de Perfuração em Poços de Petróleo Offshore Utilizando Aprendizado de Máquina;Janaína Gomide;Professor
